Webflow_ID,Webflow_Slug,Service_Name,Bookla_ServiceID,Duration_Minutes,Price_EUR,Category_Slug,Bookla_CategoryID,Resource_Slug,Bookla_ResourceID,Capacity_Spots,Visible,Option_Extra_Slug,Option_Extra_Price,Option_Extra_Duration,Bookla_UpdatedAt,Notes_Internal,Service_Type,Service_Type_ID
690a3229e860e49fd63ad173,stitch-braids-4-nattes,"Stitch braids (4 nattes)",1eadb026-8c4b-4cca-bdd3-26758b7a7373,45,40,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32299386e812c09f1c6c,stitch-braids-6-nattes,"Stitch braids (6 nattes)",5d54ae1a-5dc5-4e0a-b9c9-9cde9d3cf484,60,50,,,,,1,TRUE,,0,0,,,Cornrows femmes,690a42d69e65e468cb2a59ff
690a3229c28f9e24a39eedb2,stitch-braids-6-nattes,"Stitch braids (6 nattes)",87dca246-2ace-40f7-a2f2-0c999096dcf5,60,50,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3229d1a5798cdfd21bb2,stitch-braids-6-nattes,"Stitch braids (6 nattes)",d8e02e2d-c7a1-41dd-9467-bcc6aa526c5f,60,50,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3229b550394935b00bd5,stitch-braids-6-nattes,"Stitch braids (6 nattes)",c0d781cb-4647-4128-930e-93e3a5ec5c09,60,50,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a3229bdf5eb3a50eb8fd4,travis-scott,"Travis Scott",ce645a73-f71b-409e-b653-58927c13c40e,120,70,,,,,1,TRUE,,0,0,,,Cornrows hommes,68d9066e330ca04c60550b93
690a3229c0f3243ffe0f8046,travis-scott,"Travis Scott",60017d90-988b-4752-aeeb-5ea8043b15a7,120,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3229264aeed1e2e3f4c5,travis-scott,"Travis Scott",27b4fb38-f7a8-4ad4-8b2c-67ec271910aa,120,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3229072e4901cf5f70c6,travis-scott,"Travis Scott",52fa59f9-79a3-4dda-8f1a-29a45bd49280,120,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322765cfdc34de2d0776,vanille-cheveux-naturels,"Vanille cheveux naturels",73e7755d-0542-4a10-ac9b-41ef0afd4866,150,100,,,,,1,TRUE,,0,0,,,Vanilles,69049079bd25e6ca6d7a31e8
690a322711567ed8e04da0e6,vanille-cheveux-naturels,"Vanille cheveux naturels",314e6650-5d2b-4a2f-bd85-71ac116aa219,150,100,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3227fc9ab5a56926d40a,vanille-cheveux-naturels,"Vanille cheveux naturels",45d71d5a-115c-44eb-9fe9-79f67f12e459,150,100,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3227ea6ad0beaa1a883a,vanille-cheveux-naturels,"Vanille cheveux naturels",8892ac63-1e0b-4be5-a362-8953f98e8c52,150,100,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322aa46ad93693f9dc23,vanilles,"Vanilles",a3b41a00-a28e-4307-b552-efb29e9dffc9,120,80,,,,,1,TRUE,,0,0,,,Vanilles,69049079bd25e6ca6d7a31e8
690a322a000a9a4579bc8a75,vanilles,"Vanilles",a66b8484-db4a-473b-8bae-6eaca1ccbda0,120,80,hommes,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a322a93dbdb7141308710,vanilles,"Vanilles",,120,80,hommes,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a322ac035a1d5a8346144,vanilles,"Vanilles",,120,80,hommes,,,,1,FALSE,shampoing-et-soin,35,40,,,,
